GC OrgID,Organization Legal Name English,Organization Legal Name French,FAA/LGFP,Legal title,Appellation legale,Applied title,Titre d'usage,Abbreviation,Abreviation,Footnote,Note de bas de page,preferred_name,nom_préféré
2299,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario,I.1,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario,FedNor,FedNor,,,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario
2300,Canada Border Services Agency,Agence des services frontaliers du Canada,II,Canada Border Services Agency,Agence des services frontaliers du Canada,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,ASFC,,,Canada Border Services Agency,Agence des services frontaliers du Canada
2301,Canada Emission Reduction Incentives Agency,Agence canadienne pour l'incitation à la réduction des émissions,II,Canada Emission Reduction Incentives Agency,Agence canadienne pour l'incitation à la réduction des émissions,,,,,,,Canada Emission Reduction Incentives Agency,Agence canadienne pour l'incitation à la réduction des émissions
2302,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,II,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,CEIC,CAEC,,,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada
2303,Canada Revenue Agency,Agence du revenu du Canada,II,Canada Revenue Agency,Agence du revenu du Canada,,,CRA,ARC,,,Canada Revenue Agency,Agence du revenu du Canada
2304,Canada School of Public Service,École de la fonction publique du Canada,II,Canada School of Public Service,École de la fonction publique du Canada,,,CSPS,EFPC,,,Canada School of Public Service,École de la fonction publique du Canada
2305,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail,II,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail,,,CCOHS,CCHST,,,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
2306,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,II,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,CFIA,ACIA,,,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2307,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,II,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,,,CIHR,IRSC,,,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2308,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,II,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,CNSC,CCSN,,,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
