gc_orgID,rg,harmonized_name,nom_harmonisé,Abbreviation,Abreviation,infobaseID,website,site_web,open_gov_ouvert,ati,pop,phoenix
3412,,Joint Public Advisory Committee (JPAC) of the Commission for Environmental Cooperation (CEC),Comité consultatif public mixte (CCPM) de la Commission de coopération environnementale (CCE),,,233,www.cec.org,www.cec.org,,Not Found,,
3413,,World Anti-Doping Agency,Agence mondiale antidopage,,,341,www.wada-ama.org/en,www.wada-ama.org/fr,,Not Found,,
3414,,Asian Infrastructure Investment Bank,Banque asiatique d'investissement dans les infrastructures,,,351,www.aiib.org,www.aiib.org,,Not Found,,
3415,,Lower Churchill Development Corporation Limited,Lower Churchill Development Corporation Limited,,,201,,,,Not Found,,
3416,,North Portage Development Corporation (operating as The Forks North Portage Partnership),North Portage Development Corporation (exploitée sous le nom de The Forks North Portage Partnership),,,234,https://www.theforks.com/about/partnership,https://www.theforks.com/about/partnership,,Not Found,,
3417,,Communication Canada,Communication Canada,,,108,,,,Not Found,CIO,
3418,,Office of the Superintendent of Bankruptcy,Bureau du surintendant des faillites,,,252,,,,Not Found,OSB,
3419,,Prairie Farm Rehabilitation Administration,Administration du rétablissement agricole des Prairies,,,273,,,,Not Found,REA,
3420,,Commissioner of Canada Election,Commissaire aux élections fédérales,,,342,,,occe-bcef,Not Found,OCE,
3421,,Canada Investment and Savings,Placements Épargne Canada,,,538,,,,Not Found,,
3422,,Director of Soldier Settlement,Directeur de l'établissement de soldats,,,541,,,,Not Found,SST,
3423,,"The Director, The Veterans' Land Act",Directeur des terres destinées aux anciens combattants,,,542,,,,Not Found,DVL,
3424,,Energy Supplies Allocation Board,Office de répartition des approvisionnements d'énergie,,,543,,,esab-orad,Not Found,ESR,
3425,,"Staff of the Non-Public Funds, Canadian Forces","Personnel des fonds non publics, Forces canadiennes",,,545,,,,Not Found,FPF,
3426,,Statistics Survey Operations,Opérations des enquêtes statistiques,,,553,,,,Not Found,SYT,
3427,,Federal Judges not part of any department,Juges fédéraux ne faisant pas partie d'un ministère,,,555,,,,Not Found,,
3428,67,House of Commons,Chambre des communes,,,2,www.parl.gc.ca,www.parl.gc.ca,hoc-cdc,Not Found,HOC,
3429,17,Library of Parliament,Bibliothèque du Parlement,,,200,www.parl.gc.ca/About/Library/VirtualLibrary,www.parl.gc.ca/About/Library/VirtualLibrary,lp-bp,Not Found,LIB,
3430,147,Office of the Conflict of Interest and Ethics Commissioner,Commissariat aux conflits d'intérêts et à l'éthique,,,245,ciec-ccie.parl.gc.ca/EN/Pages/default.aspx,ciec-ccie.parl.gc.ca/FR/Pages/default.aspx,,Not Found,CIE,
3431,,Senate Ethics Officer,Conseiller sénatorial en éthique,,,251,sen.parl.gc.ca/seo-cse/eng/Home-e.html,sen.parl.gc.ca/seo-cse/fr/Home-f.html,,Not Found,ESN,
3432,9,Senate,Sénat,,,303,www.parl.gc.ca,www.parl.gc.ca,,Not Found,SEN,
3433,183,Office of the Parliamentary Budget Officer,Bureau du directeur parlementaire du budget,,,346,www.pbo-dpb.gc.ca/en/,www.pbo-dpb.gc.ca/fr/,,Not Found,PBO,
